date,pred_dir,spx_close,daily_change_pct,real_dir_class,rsi,bb_width,atr,trend_ema9,vix_close,vix_mean
2025-11-06,UP,6720.32,-0.99,DOWN,47.99,0.0554,71.16,BELOW_EMA9,19.50,17.90
2025-11-05,UP,6796.29,0.39,UP,55.36,0.0553,69.77,BELOW_EMA9,18.01,17.74
2025-11-04,UP,6771.55,-0.25,DOWN,53.19,0.0550,70.01,BELOW_EMA9,19.00,17.71
2025-11-03,UP,6851.97,-0.44,DOWN,62.36,0.0550,68.84,ABOVE_EMA9,17.17,17.59
2025-10-31,UP,6840.20,-0.57,DOWN,61.46,0.0531,69.39,ABOVE_EMA9,17.44,17.63
2025-10-30,UP,6822.34,-0.56,DOWN,60.11,0.0514,69.73,ABOVE_EMA9,16.91,17.65
2025-10-29,UP,6890.59,-0.29,DOWN,68.63,0.0500,69.72,ABOVE_EMA9,16.92,17.72
2025-10-28,UP,6890.89,-0.10,FLAT,68.67,0.0448,69.82,ABOVE_EMA9,16.42,17.80
2025-10-27,UP,6875.16,0.43,UP,67.77,0.0383,72.06,ABOVE_EMA9,15.79,17.94
2025-10-24,UP,6791.69,0.29,UP,62.39,0.0312,71.02,ABOVE_EMA9,16.37,18.15
2025-10-23,UP,6738.44,0.52,UP,58.26,0.0291,71.21,ABOVE_EMA9,17.30,18.33
2025-10-22,UP,6699.40,-0.62,DOWN,54.89,0.0304,72.83,ABOVE_EMA9,18.60,18.43
2025-10-21,UP,6735.35,-0.02,FLAT,58.96,0.0309,71.81,ABOVE_EMA9,17.87,18.42
2025-10-20,UP,6735.13,0.67,UP,58.94,0.0301,75.02,ABOVE_EMA9,18.23,18.47
2025-10-17,FLAT,6664.01,0.77,UP,53.00,0.0291,74.61,ABOVE_EMA9,20.78,18.50
2025-10-16,UP,6629.07,-0.90,DOWN,49.67,0.0291,74.57,BELOW_EMA9,25.31,18.27
2025-10-15,UP,6671.06,-0.26,DOWN,53.93,0.0290,71.43,ABOVE_EMA9,20.64,17.56
2025-10-14,UP,6644.31,0.63,UP,51.47,0.0306,68.31,BELOW_EMA9,20.81,17.25
2025-10-13,UP,6654.72,0.49,UP,52.48,0.0316,63.90,BELOW_EMA9,19.03,16.90
2025-10-10,UP,6552.51,-2.79,DOWN,42.09,0.0323,59.88,BELOW_EMA9,21.66,16.69
2025-10-09,UP,6735.11,-0.38,DOWN,66.05,0.0305,48.20,ABOVE_EMA9,16.43,16.19
